id,carat,cut,color,clarity,depth,table,x,y,z,price
0,0.3,Premium,D,SI2,62.4,58.0,4.31,4.28,2.68,6.353
1,1.01,Ideal,E,VVS2,62.7,56.0,6.42,6.46,4.04,9.183
2,0.72,Ideal,F,VS2,61.8,59.0,5.71,5.74,3.54,7.983
3,1.08,Very Good,G,SI2,63.2,57.0,6.54,6.5,4.12,8.371
4,0.36,Premium,G,VS1,62.3,59.0,4.5,4.55,2.82,6.588
5,0.53,Ideal,F,VS1,61.4,57.0,5.18,5.2,3.19,7.496
6,1.74,Premium,H,SI1,62.1,59.0,7.69,7.63,4.76,8.979
7,0.33,Ideal,E,VVS2,60.0,56.0,4.53,4.56,2.72,6.877
8,0.32,Very Good,E,VS2,62.9,56.0,4.36,4.39,2.75,6.554
9,0.27,Ideal,E,VVS2,61.8,57.0,4.16,4.12,2.56,6.683
10,0.63,Ideal,D,SI1,61.1,56.0,5.52,5.58,3.39,7.484
11,0.31,Ideal,G,VS2,61.4,56.0,4.34,4.37,2.67,6.353
12,0.53,Ideal,F,VS1,62.0,55.0,5.2,5.15,3.21,7.554
13,0.7,Very Good,H,VS1,62.2,57.0,5.67,5.72,3.54,7.671
14,0.74,Very Good,H,SI1,62.4,58.0,5.71,5.76,3.58,7.794
15,1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,8.727
16,0.71,Ideal,D,SI1,62.0,55.0,5.71,5.76,3.56,8.087
17,0.32,Ideal,G,SI1,62.3,57.0,4.38,4.41,2.74,6.23
18,0.52,Ideal,G,VS1,61.6,56.0,5.18,5.22,3.2,7.451
19,0.42,Premium,G,VVS1,59.3,59.0,4.9,4.92,2.91,7.072
20,1.06,Premium,E,SI2,61.7,62.0,6.54,6.5,4.02,8.445
21,0.58,Ideal,I,VVS1,62.3,53.0,5.38,5.4,3.36,7.365
22,1.5,Fair,I,SI1,56.7,63.0,7.52,7.57,4.28,8.976
23,0.3,Ideal,G,IF,62.0,55.0,4.33,4.35,2.69,6.76
24,1.0,Fair,F,VS1,65.3,56.0,6.28,6.25,4.09,8.671
25,0.51,Ideal,F,VVS1,61.4,56.0,5.15,5.17,3.17,7.911
26,1.2,Premium,G,VS2,58.2,59.0,7.04,6.95,4.07,8.961
27,0.41,Ideal,G,IF,62.3,55.0,4.78,4.75,2.97,7.266
28,0.42,Ideal,E,VS1,61.6,57.0,4.84,4.8,2.97,7.074
29,1.12,Premium,H,SI2,61.9,58.0,6.74,6.66,4.15,8.456
30,1.22,Premium,I,SI1,62.1,59.0,6.86,6.8,4.24,8.606
31,0.5,Very Good,H,SI1,60.9,61.0,5.06,5.15,3.11,7.033
32,0.31,Premium,G,SI1,62.4,55.0,4.34,4.31,2.7,6.385
33,0.56,Ideal,D,VS2,61.5,57.0,5.33,5.28,3.26,7.633
34,0.32,Ideal,H,SI2,61.9,54.0,4.42,4.46,2.75,6.04
35,0.72,Ideal,J,SI1,61.7,56.0,5.77,5.81,3.57,7.525
36,1.08,Very Good,H,SI1,63.4,57.0,6.54,6.51,4.14,8.573
37,0.31,Good,D,SI1,63.1,57.0,4.3,4.32,2.72,6.347
38,0.33,Ideal,G,IF,61.9,55.0,4.44,4.45,2.75,6.852
39,0.7,Ideal,E,SI2,62.0,56.0,5.71,5.74,3.55,7.631
40,2.53,Premium,H,SI2,61.1,57.0,8.82,8.76,5.37,9.626
41,1.0,Good,H,SI1,64.9,56.0,6.24,6.31,4.07,8.361
42,0.37,Ideal,D,VS2,61.3,56.0,4.64,4.6,2.83,7.025
43,0.3,Ideal,E,VVS1,61.4,56.0,4.33,4.37,2.67,6.797
44,1.7,Very Good,J,SI1,61.9,59.0,7.59,7.64,4.71,9.09
45,0.32,Ideal,I,VS2,63.0,55.0,4.39,4.34,2.75,6.356
